File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022161011220_aid0001,SDS_LST,aid0001,2022-06-10 01:12:20 UTC,22265,014,0601,True,1938.0,290.32,300.6,"(290.32,300.6)",295.5501445,2.0584441,4.2371922,297.52,300.6,295.3,290.32,293.92
ECO2LSTE_001_SDS_LST_doy2022162170328_aid0001,SDS_LST,aid0001,2022-06-11 17:03:28 UTC,22291,001,0601,True,1345.0,303.1,314.0,"(303.1,314.0)",309.9743048,1.3849953,1.918212,310.78,312.58,310.28,307.04,309.28
ECO2LSTE_001_SDS_LST_doy2022162170419_aid0001,SDS_LST,aid0001,2022-06-11 17:04:19 UTC,22291,002,0601,True,1950.0,306.42,314.5,"(306.42,314.5)",309.9470462,1.0794993,1.1653188,310.7,312.68,310.16,307.02,309.22
ECO2LSTE_001_SDS_LST_doy2022166152649_aid0001,SDS_LST,aid0001,2022-06-15 15:26:49 UTC,22352,001,0601,True,1955.0,285.76,287.28,"(285.76,287.28)",286.4134731,0.229244,0.0525528,286.56,287.0,286.4,285.82,286.26
ECO2LSTE_001_SDS_LST_doy2022168215911_aid0001,SDS_LST,aid0001,2022-06-17 21:59:11 UTC,22387,012,0601,True,1956.0,308.56,318.34,"(308.56,318.34)",313.3886708,1.301714,1.6944594,314.28,316.7,313.56,310.26,312.655
ECO2LSTE_001_SDS_LST_doy2022170135120_aid0001,SDS_LST,aid0001,2022-06-19 13:51:20 UTC,22413,004,0601,True,1933.0,287.5,291.78,"(287.5,291.78)",288.7505846,0.4730068,0.2237355,289.02,289.88,288.74,287.6,288.44
ECO2LSTE_001_SDS_LST_doy2022178103902_aid0001,SDS_LST,aid0001,2022-06-27 10:39:02 UTC,22535,003,0601,True,1929.0,288.98,293.16,"(288.98,293.16)",290.211156,0.5195911,0.2699749,290.52,291.54,290.16,288.98,289.84
ECO2LSTE_001_SDS_LST_doy2022179175940_aid0001,SDS_LST,aid0001,2022-06-28 17:59:40 UTC,22555,009,0601,True,1961.0,310.74,322.14,"(310.74,322.14)",317.6131158,1.293823,1.6739779,318.44,320.74,317.8,314.62,316.9
ECO2LSTE_001_SDS_LST_doy2022183162326_aid0001,SDS_LST,aid0001,2022-07-02 16:23:26 UTC,22616,012,0601,True,1934.0,299.42,309.76,"(299.42,309.76)",305.0867115,1.0467114,1.0956048,305.775,307.62,305.21,302.66,304.525
ECO2LSTE_001_SDS_LST_doy2022186072727_aid0001,SDS_LST,aid0001,2022-07-05 07:27:27 UTC,22657,002,0601,True,1939.0,289.2,293.74,"(289.2,293.74)",290.91541,0.6930542,0.4803241,291.32,292.64,290.84,289.2,290.44
